Station,Year,Month,Day,Daily Rainfall Total,Highest 30 Min Rainfall,Highest 60 Min Rainfall,Highest 120 Min Rainfall,Mean Temperature,Maximum Temperature,Minimum Temperature,Mean Wind Speed (km/h),Max Wind Speed (km/h)
Tengah,2020,6,6,2.4,-,-,-,28,29.8,24.8,-,9.3
Sentosa Island,2020,6,1,0.2,-,-,-,29.8,33.5,28,4.6,18.3
Marina Barrage,2020,7,1,4,0,0,0,29.5,33.5,28.2,4.7,18.7
Pulau Ubin,2020,4,1,4,0,0,0,28.6,33.8,24.6,3.8,19.4
Sentosa Island,2020,5,1,4,-,-,-,28.7,32.9,26,4.5,21.7
Khatib,2020,7,1,4.4,4.4,4.4,4.4,26.3,31.4,22,2.6,21.7
Pulau Ubin,2020,7,1,4,0,0,0,28.1,32.8,26,2.9,22.6
Marina Barrage,2020,4,1,4,0,0,0,29.8,33.6,27,5.8,23
Choa Chu Kang (South),2020,5,1,12.6,5,9.2,14,26.8,31.2,24.6,5,23.3
Tuas South,2020,4,1,4,0,0,0,29.7,33.2,27,5.8,23.7
Pulau Ubin,2020,5,1,14.4,6.4,7.6,7.8,26.1,31.9,23.9,3.2,24.1
Choa Chu Kang (South),2020,7,1,4,0,0,0,28.9,31.6,27.2,7.5,24.1
Tengah,2020,7,1,4,0,0,0,28,31.4,26.1,-,24.1
Sentosa Island,2020,7,1,4,0,0,0,28.9,31.1,27.6,6.2,25.2
Clementi,2020,4,1,2.8,1.2,1.6,2.6,29.3,35.4,26.1,4.6,25.6
Seletar,2020,7,1,6.2,4.8,4.8,4.8,28,-,-,7.1,25.9
Clementi,2020,6,1,1.4,0.4,-,-,26.7,29.9,24.7,5.6,25.9
Paya Lebar,2020,4,1,4,-,-,-,30.1,34.2,27,6.8,25.9
Sentosa Island,2020,4,1,4,0,0,0,29.5,33.5,26.6,6.6,25.9
Tai Seng,2020,4,1,0.2,0.2,0.2,0.2,29.7,33.8,27.2,9,26.3
Pulau Ubin,2020,3,1,4,0,0,0,27.3,32.7,23.6,6.5,26.3
Tuas South,2020,3,1,4,0,0,0,28.9,34.2,25.9,7.9,26.3
Jurong (West),2020,5,1,12.6,4,5.8,10.4,26.6,30.3,24.4,6.5,26.7
Jurong (West),2020,7,1,4,0,0,0,28.8,31.5,27.9,7.8,27
Tuas South,2020,2,1,4,0,0,0,28.8,32.6,26.4,6.5,27
Choa Chu Kang (South),2020,6,1,33.6,13.8,-,-,25.9,29.3,24.9,5.3,27.4
Tai Seng,2020,7,1,4,0,0,0.4,29.5,32,28.1,8.6,27.4
Tengah,2020,6,1,20.4,5.3,-,-,28,29,23.4,-,27.8
Jurong (West),2020,4,1,4,0,0,0,29.2,34.2,25.9,5.4,27.8
Khatib,2020,4,1,4,0,0,0,28.8,34.9,23.4,6.4,28.5
Marina Barrage,2020,6,1,18,11.4,-,-,27.6,30.8,24.9,4.8,29.1
Jurong (West),2020,6,1,7.6,3.8,-,-,26.3,28.5,24.8,5.7,29.1
Pulau Ubin,2020,2,1,4,0,0,0,27.9,31.1,25.3,8.6,29.2
Khatib,2020,6,1,11,9.2,-,-,24.3,29,22.1,3,29.4
Jurong Island,2020,7,1,4,-,-,-,29,31.1,27.7,8.8,29.4
Changi,2020,5,1,22.4,13.4,22.6,28.8,26.5,31.3,24.4,6.3,29.6
Changi,2020,7,1,4,0,0,0,28.8,31.6,27.3,10,29.6
Paya Lebar,2020,7,1,4,-,-,-,29.1,31.8,27.5,8.4,29.6
Seletar,2020,4,1,4,0,0,0,28,-,-,8.7,29.6
Jurong Island,2020,5,1,15.6,10.6,11.6,15,27.8,31.1,25.3,6.7,30.2
Jurong (West),2020,3,1,4,0,0,0,28.2,34,24.8,9.4,30.2
Choa Chu Kang (South),2020,4,1,27.2,21.8,24.2,27.2,29,35.6,25.7,5.1,31.3
Jurong Island,2020,4,1,4,0,0,0,29.7,33.5,27,7.5,31.3
Newton,2020,7,1,4,-,-,-,28.7,31.2,27.5,7.4,31.3
Paya Lebar,2020,5,1,10.4,-,-,-,27.2,31.9,25.6,4.9,31.5
Tuas South,2020,6,1,1.8,1.2,-,-,27.5,29.1,25.9,5.9,31.7
Clementi,2020,3,1,4,0,0,0,28.2,35.1,25,7.6,32
Sembawang,2020,4,1,4,0,0,0,28,35.1,23.5,-,33.3
Tai Seng,2020,5,1,7,1.4,13,14.8,27.1,31.4,25.3,8.2,33.5
Marina Barrage,2020,3,1,4,0,0,0,28.6,32.8,25.9,11.5,33.5
Newton,2020,5,1,12.6,6,7,10.8,26.4,31.1,24.4,13.6,33.9
Ang Mo Kio,2020,5,1,6.4,1.8,3,4.2,26.5,31,24.9,12.4,33.9
East Coast Parkway,2020,5,1,21.6,5.6,20.4,28.2,26.8,30.1,25,9.9,34.3
Admiralty,2020,7,1,5.6,5.6,5.6,5.6,28.7,32.3,24.6,8.2,34.3
Tuas South,2020,7,1,4,0,0,0,29.2,31.6,28.1,6,34.3
Admiralty,2020,4,1,0.4,0.4,0.4,0.4,29.2,35.7,26,13.7,34.6
Sentosa Island,2020,2,1,4,0,0,0,28.9,32.7,26.7,7.2,34.6
Clementi,2020,2,1,4,0,0,0,27.8,31.1,25.8,9.4,34.9
East Coast Parkway,2020,4,1,4,0,0,0,28.7,30.9,26.4,11.8,35
Ang Mo Kio,2020,7,1,1.2,1.2,1.2,1.2,29,31.9,26.8,13.9,35.2
Tengah,2020,4,1,5,4.4,4.6,5,28,35.6,25.8,7.9,35.3
Jurong Island,2020,6,1,0.8,0.4,-,-,27.6,29.6,26.1,7.7,35.9
Jurong (West),2020,2,1,4,0,0,0,27.8,31.7,25.6,10.4,36
Jurong Island,2020,3,1,4,0,0,0,29.3,34.6,26.1,7.6,36.7
Paya Lebar,2020,6,1,22.3,-,-,-,27.3,29.7,24,6.7,37
Sentosa Island,2020,9,1,4,-,-,-,28.5,32,27,5.9,37
Seletar,2020,3,1,4,—,—,—,28,—,—,15.5,37.1
Ang Mo Kio,2020,6,1,23.8,13.4,-,-,26.7,29.7,23.5,15.4,37.4
Changi,2020,3,1,4,0,0,0,28.1,32.7,25.2,12.6,37.4
East Coast Parkway,2020,7,1,0.6,-,-,-,29,30.2,28.2,17.2,37.8
Ang Mo Kio,2020,4,1,4,0,0,0,29.5,35,26.5,19.9,37.8
Khatib,2020,2,1,4,0,0,0,27.5,31.5,25.2,9.7,37.8
Changi,2020,2,1,4,0,0,0,28.3,32,26.2,17.6,38.5
Marina Barrage,2020,2,1,4,0,0,0,28.6,31.6,26.8,12.6,38.5
Newton,2020,3,1,4,0,0,0,28,33.1,25.3,12.2,38.5
Admiralty,2020,6,1,10,4.8,-,-,26.4,30.4,24.2,11.1,38.9
Choa Chu Kang (South),2020,2,1,4,0,0,0,28.3,31.8,26.1,10.4,39.2
Tai Seng,2020,6,1,22,14.6,-,-,27.6,29.8,24.3,8.9,39.6
Seletar,2020,5,1,10.6,3,3.4,5.4,28,-,-,5,40.7
Paya Lebar,2020,2,1,4,—,—,—,28.7,32,26,17.3,40.7
Jurong Island,2020,2,1,4,0,0,0,28.9,32.4,26.9,9,41
Admiralty,2020,5,1,8.6,2.6,4.4,8.6,26.3,30.4,24.7,9.7,41.5
Pasir Panjang,2020,7,1,4,0,0,0,29.2,30.5,28.4,10.9,41.5
Newton,2020,6,1,7.8,2.4,-,-,26.7,29.1,24.3,9.4,42
Paya Lebar,2020,3,1,4,—,—,—,29,33.7,25.3,16.2,42.5
Ang Mo Kio,2020,3,1,4,0,0,0,27.8,32.7,24.8,20.9,42.8
Tuas South,2020,5,1,17.5,5.5,9.5,9.5,27.7,30.1,25.3,10.8,43.2
Seletar,2020,2,1,4,—,—,—,28,—,—,20.9,44.3
Pasir Panjang,2020,6,1,0.8,0.6,-,-,27.8,29.5,25.9,17.7,45.4
Tai Seng,2020,3,1,4,0,0,0,28.4,32.2,25.8,15.5,45.7
Seletar,2020,6,1,39.8,23.6,-,-,28,-,-,7,46.3
Ang Mo Kio,2020,2,1,4,0,0,0,27.9,31,25.8,20.5,46.8
East Coast Parkway,2020,2,1,4,0,0,0,28.3,30.8,26.2,14.4,47.2
Tai Seng,2020,2,1,4,0,0,0,28.4,30.9,26.4,15.1,49.7
Pasir Panjang,2020,3,1,4,0,0,0,28.6,33.1,25.9,23.8,50
Admiralty,2020,3,1,4,0,0,0,27.9,32.7,24.8,20.2,51.1
East Coast Parkway,2020,3,1,4,0,0,0,28.1,31.3,25.8,15.1,52.6
Pasir Panjang,2020,4,1,6.8,6.8,6.8,6.8,29.4,32.5,27,18,53.7
Pasir Panjang,2020,5,1,28.8,10.2,15,16.4,27.5,30.1,25.3,19.3,58.7
Admiralty,2020,2,1,4,0,0,0,27.7,30.7,25.9,24.5,60.5
Bukit Panjang,2020,6,1,4,-,-,-,28,-,-,-,-
Khatib,2020,5,1,4,-,-,-,28,-,-,-,-
Marina Barrage,2020,5,1,4,-,-,-,28,-,-,-,-
Pasir Ris (West),2020,6,1,4,-,-,-,28,-,-,-,-
Semakau Island,2020,6,1,4,-,-,-,28,-,-,-,-
Semakau Island,2020,7,1,4,-,-,-,28,-,-,-,-
Serangoon,2020,5,1,4,-,-,-,28,-,-,-,-
Serangoon,2020,6,1,4,-,-,-,28,-,-,-,-
Serangoon,2020,7,1,4,-,-,-,28,-,-,-,-
Simei,2020,6,1,56.8,38.6,-,-,28,-,-,-,-
Pasir Ris (Central),2020,6,1,38.4,27.4,-,-,28,-,-,-,-
Pulau Ubin,2020,6,1,32.6,21.2,-,-,28,-,-,-,-
Punggol,2020,6,1,30.8,17.4,-,-,28,-,-,-,-
Toa Payoh,2020,6,1,28.6,18.4,-,-,28,-,-,-,-
Kranji Reservoir,2020,4,1,28.2,27,28.2,28.2,28,-,-,-,-
Nicoll Highway,2020,6,1,28.2,17.4,-,-,28,-,-,-,-
Chai Chee,2020,6,1,25.4,16,-,-,28,-,-,-,-
Marine Parade,2020,6,1,23.8,14.4,-,-,28,-,-,-,-
Kranji Reservoir,2020,6,1,22.4,13.8,-,-,28,-,-,-,-
Simei,2020,5,1,20.4,13,31.6,34.2,28,-,-,-,-
Lower Peirce Reservoir,2020,6,1,20.2,11.8,-,-,28,-,-,-,-
Tanjong Katong,2020,6,1,19.4,13.8,-,-,28,-,-,-,-
Ulu Pandan,2020,5,1,19.4,10.2,11.2,11.4,28,-,-,-,-
Whampoa,2020,6,1,18.2,9.2,-,-,28,-,-,-,-
Buona Vista,2020,5,1,16.6,6.8,11.6,12.4,28,-,-,-,-
Kent Ridge,2020,5,1,16.2,5.8,11,11.2,28,-,-,-,-
Nicoll Highway,2020,5,1,15.8,43.8,49,51.2,28,-,-,-,-
Jurong Pier,2020,6,1,15.6,14.2,-,-,28,-,-,-,-
Marine Parade,2020,5,1,14.6,34.2,58.6,71.6,28,-,-,-,-
Pasir Ris (Central),2020,5,1,14,4.4,15.8,26.6,28,-,-,-,-
Chai Chee,2020,5,1,13.6,26.6,45.8,47.8,28,-,-,-,-
Macritchie Reservoir,2020,6,1,13.6,6,-,-,28,-,-,-,-
Tuas West,2020,5,1,13.2,3.8,18.4,21.2,28,-,-,-,-
Tengah,2020,5,1,12.8,7.7,14.9,19,28,31.6,25.6,-,-
Lim Chu Kang,2020,5,1,12.4,3,9.6,14.6,28,-,-,-,-
Tuas,2020,5,1,11.6,12.4,26.4,29.4,28,-,-,-,-
Kranji Reservoir,2020,5,1,11,2.6,4.8,9.6,28,-,-,-,-
